0,3157
5441,0
1,2411
6919,1
2,1057
3064,2
3,6642
6519,3
4,2101
4298,4
5,2964
5221,5
6,4054
5709,6
7,5050
317,7
8,7314
964,8
9,4398
6123,9
10,1553
784,10
11,1373
5025,11
12,2633
4573,12
13,420
4632,13
14,2381
4417,14
15,6820
1946,15
16,124
4229,16
17,6891
3808,17
18,6770
5817,18
19,1120
1179,19
20,898
4958,20
21,3593
4469,21
22,5866
1156,22
23,3153
1918,23
24,6036
3537,24
25,3709
6006,25
26,1838
5975,26
27,3665
5053,27
28,2253
3660,28
29,1461
1476,29
30,7024
3937,30
31,3208
6475,31
32,1991
4221,32
33,5025
513,33
34,6964
1225,34
35,1084
4420,35
36,2094
977,36
37,5002
5541,37
38,4362
7089,38
39,4855
5064,39
40,2298
1199,40
41,6620
101,41
42,2337
846,42
43,675
5794,43
44,2461
5375,44
45,5907
2248,45
46,1623
4611,46
47,487
2359,47
48,3451
7169,48
49,5287
2608,49
50,895
5576,50
51,1546
1239,51
52,2874
4542,52
53,6787
3373,53
54,864
2394,54
55,5548
2935,55
56,844
2146,56
57,3988
357,57
58,1779
3920,58
59,5420
7248,59
60,4053
6585,60
61,2075
699,61
62,391
6668,62
63,6339
5189,63
64,2333
4168,64
65,2611
5585,65
66,777
3840,66
67,4336
5496,67
68,3338
3446,68
69,6553
2056,69
70,2792
5780,70
71,4239
4172,71
72,6546
2492,72
73,485
6434,73
74,78
2779,74
75,6846
5415,75
76,2713
2876,76
77,6392
6612,77
78,989
79,1366
3478,79
80,6560
5624,80
81,1494
2595,81
82,1424
749,82
83,1709
3058,83
84,2376
4723,84
85,4116
3137,85
86,4453
4027,86
87,2815
1482,87
88,4561
3664,88
89,4563
3175,89
90,1138
6477,90
91,1001
2634,91
92,312
2375,92
93,6341
2903,93
94,2824
5295,94
95,4828
7206,95
96,6775
5969,96
97,2726
4253,97
98,455
3615,98
99,5284
4536,99
100,742
2901,100
4593,101
102,699
1603,102
103,4601
6178,103
104,3922
6921,104
105,2282
4930,105
106,4593
4336,106
107,3459
4535,107
108,2211
4047,108
109,3189
7421,109
110,6200
1653,110
111,486
5761,111
112,1643
4445,112
113,5079
409,113
114,2336
5080,114
115,357
2153,115
116,3171
2649,116
117,6718
2138,117
118,726
3402,118
119,2863
5571,119
120,6516
6946,120
121,5794
6506,121
122,6220
2932,122
123,3078
1408,123
124,848
125,3332
297,125
126,5572
5234,126
127,6008
6887,127
128,2014
2129,128
129,2347
4769,129
130,2638
3623,130
131,2272
3258,131
132,3734
2958,132
133,216
762,133
134,1346
626,134
135,5430
7305,135
136,5632
2964,136
137,299
2054,137
138,2184
184,138
139,2522
5047,139
140,3427
5917,140
141,7396
5909,141
142,2057
6589,142
143,5801
889,143
144,3359
5096,144
145,6283
355,145
146,1742
6547,146
147,2727
3577,147
148,5841
5258,148
149,362
260,149
150,7434
1460,150
151,6141
3651,151
152,7380
4845,152
153,1341
5282,153
154,2541
5945,154
155,1358
3366,155
156,3186
1019,156
157,620
1774,157
158,2699
5691,158
159,7326
4279,159
160,642
2888,160
161,2231
6480,161
162,6422
2899,162
163,4350
1337,163
164,6323
2270,164
165,1111
4312,165
166,3314
5148,166
167,1460
996,167
168,6595
692,168
169,1585
777,169
170,4408
1100,170
171,5773
7396,171
172,7341
5991,172
173,5285
7395,173
174,2867
1929,174
175,4130
1096,175
176,6756
6314,176
177,6023
3949,177
178,5695
1139,178
179,6854
3745,179
180,7480
4975,180
181,6517
6769,181
182,7235
3961,182
183,2496
5092,183
6029,184
185,7377
2705,185
186,5355
620,186
187,1271
2541,187
188,4783
5547,188
189,2613
7436,189
190,3349
6646,190
191,4313
6602,191
192,2782
1355,192
193,6400
1410,193
194,4080
1806,194
195,4797
4377,195
196,3944
3408,196
197,4249
2977,197
198,745
5824,198
199,1947
5214,199
200,5785
703,200
201,6586
4853,201
202,284
5049,202
203,4764
590,203
204,7362
4621,204
205,5067
7131,205
206,6519
2783,206
207,3473
5197,207
208,6183
4798,208
209,7450
6121,209
210,4057
6488,210
211,334
6011,211
212,3592
5188,212
213,2166
6795,213
214,5917
3114,214
215,272
1948,215
216,409
217,5197
6033,217
218,3023
2971,218
219,4048
1072,219
220,5541
4293,220
221,3759
3085,221
222,2118
236,222
223,1656
4628,223
224,5132
5583,224
225,3974
5368,225
226,6733
4689,226
227,3486
5746,227
228,599
2574,228
229,5511
2113,229
230,2770
1437,230
231,1687
7145,231
232,2808
5139,232
233,786
2959,233
234,2534
1678,234
235,304
863,235
6212,236
237,2035
6981,237
238,3715
6623,238
239,1110
895,239
240,2545
454,240
241,7010
3053,241
242,3586
678,242
243,2415
3738,243
244,5719
304,244
245,5874
3226,245
246,1137
2232,246
247,1176
841,247
248,2857
634,248
249,4044
4570,249
250,2130
3980,250
251,2571
5267,251
252,5096
2420,252
253,640
4538,253
254,1189
5596,254
255,5258
1854,255
256,3318
5532,256
257,1887
6073,257
258,1845
1635,258
259,4214
5259,259
6387,260
261,3246
5618,261
262,2618
7022,262
263,3958
3484,263
264,2190
2570,264
265,4978
1116,265
266,3418
5692,266
267,1113
7038,267
268,7298
2687,268
269,5479
850,269
270,3307
5831,270
271,2953
4568,271
272,4419
273,5939
2871,273
274,3012
1375,274
275,4553
4998,275
276,3353
6886,276
277,3772
5141,277
278,2285
2819,278
279,5586
6862,279
280,5376
428,280
281,4915
7442,281
282,3355
726,282
283,3273
2695,283
284,392
285,4276
2530,285
286,2851
6940,286
287,4742
5293,287
288,2820
1331,288
289,2967
2702,289
290,3152
5939,290
291,5407
545,291
292,4906
7122,292
293,4472
5662,293
294,5784
5051,294
295,4137
1702,295
296,7459
5149,296
5201,297
298,3266
5738,298
299,496
300,5270
4339,300
301,5363
3205,301
302,337
4481,302
303,1966
3022,303
305,6088
5390,305
306,5338
1660,306
307,1741
3597,307
308,5333
7201,308
309,2477
833,309
310,3937
5639,310
311,5272
1247,311
312,2489
313,4652
2257,313
314,5106
7200,314
315,6512
3231,315
316,5137
3684,316
5540,317
318,3481
2810,318
319,4033
2154,319
320,7151
5184,320
321,3897
7244,321
322,2747
3774,322
323,4537
5704,323
324,4648
6437,324
325,4311
1288,325
326,1017
2827,326
327,2439
4456,327
328,7397
2117,328
329,2790
5907,329
330,1422
